ticket_no,flights_count,city_departure,city_arrival
5432053660   ,2,Anapa,Moscow
5432053661   ,2,Anapa,Moscow
5432053662   ,2,Anapa,Moscow
5432053663   ,2,Anapa,Moscow
5432053664   ,2,Anapa,Moscow
5432053665   ,2,Anapa,Moscow
5432053666   ,2,Anapa,Moscow
5432053667   ,2,Anapa,Moscow
5432053668   ,2,Anapa,Moscow
5432053669   ,2,Anapa,Moscow
5432053670   ,2,Anapa,Moscow
5432053671   ,2,Anapa,Moscow
5432053672   ,2,Anapa,Moscow
5432053673   ,2,Anapa,Moscow
5432053674   ,2,Anapa,Moscow
5432053675   ,2,Anapa,Moscow
5432053676   ,2,Anapa,Moscow
5432053677   ,2,Anapa,Moscow
5432053678   ,2,Anapa,Moscow
5432053679   ,2,Anapa,Moscow
5432053680   ,2,Anapa,Moscow
5432053681   ,2,Anapa,Moscow
5432053682   ,2,Anapa,Moscow
5432053683   ,2,Anapa,Moscow
5432053684   ,2,Anapa,Moscow
5432053685   ,2,Anapa,Moscow
5432053686   ,2,Anapa,Moscow
5432053687   ,2,Anapa,Moscow
5432053688   ,2,Anapa,Moscow
5432053689   ,2,Anapa,Moscow
5432053690   ,2,Anapa,Moscow
5432053691   ,2,Anapa,Moscow
5432053692   ,2,Anapa,Moscow
5432053693   ,2,Anapa,Moscow
5432053694   ,2,Anapa,Moscow
5432053695   ,2,Anapa,Moscow
5432053696   ,2,Anapa,Moscow
5432053697   ,2,Anapa,Moscow
5432053698   ,2,Anapa,Moscow
5432053699   ,2,Anapa,Moscow
5432053700   ,2,Anapa,Moscow
5432053701   ,2,Anapa,Moscow
5432053702   ,2,Anapa,Moscow
5432053703   ,2,Anapa,Moscow
5432053704   ,2,Anapa,Moscow
5432053705   ,2,Anapa,Moscow
5432053706   ,2,Anapa,Moscow
5432053707   ,2,Anapa,Moscow
5432053708   ,2,Anapa,Moscow
5432053709   ,2,Anapa,Moscow
5432053710   ,2,Anapa,Moscow
5432053711   ,2,Anapa,Moscow
5432053712   ,2,Anapa,Moscow
5432053713   ,2,Anapa,Moscow
5432053714   ,2,Anapa,Moscow
5432053715   ,2,Anapa,Moscow
5432053716   ,2,Anapa,Moscow
5432053717   ,2,Anapa,Moscow
5432053718   ,2,Anapa,Moscow
5432053719   ,2,Anapa,Moscow
5432053720   ,2,Anapa,Moscow
5432053721   ,2,Anapa,Moscow
5432053722   ,2,Anapa,Moscow
5432053723   ,2,Anapa,Moscow
5432053724   ,2,Anapa,Moscow
5432053725   ,2,Anapa,Moscow
5432053726   ,2,Anapa,Moscow
5432053727   ,2,Anapa,Moscow
5432053728   ,2,Anapa,Moscow
5432053729   ,2,Anapa,Moscow
5432053730   ,2,Anapa,Moscow
5432053731   ,2,Anapa,Moscow
5432053732   ,2,Anapa,Moscow
5432053733   ,2,Anapa,Moscow
5432053734   ,2,Anapa,Moscow
5432053735   ,2,Anapa,Moscow
5432053736   ,2,Anapa,Moscow
5432053737   ,2,Anapa,Moscow
5432053738   ,2,Anapa,Moscow
5432053739   ,2,Anapa,Moscow
5432053740   ,2,Anapa,Moscow
5432053741   ,2,Anapa,Moscow
5432053742   ,2,Anapa,Moscow
5432053743   ,2,Anapa,Moscow
5432053744   ,2,Anapa,Moscow
5432053745   ,2,Anapa,Moscow
5432053746   ,2,Anapa,Moscow
5432053747   ,2,Anapa,Moscow
5432053748   ,2,Anapa,Moscow
5432053749   ,2,Anapa,Moscow
5432053750   ,2,Anapa,Moscow
5432053751   ,2,Anapa,Moscow
5432053752   ,2,Anapa,Moscow
5432053753   ,2,Anapa,Moscow
5432053754   ,2,Anapa,Moscow
5432053755   ,2,Anapa,Moscow
5432053756   ,2,Anapa,Moscow
5432053757   ,2,Anapa,Moscow
5432053758   ,2,Anapa,Moscow
5432053759   ,2,Anapa,Moscow
5432053760   ,2,Anapa,Moscow
5432053761   ,2,Anapa,Moscow
5432053762   ,2,Anapa,Moscow
5432053763   ,2,Anapa,Moscow
5432053764   ,2,Anapa,Moscow
5432053765   ,2,Anapa,Moscow
5432053766   ,2,Anapa,Moscow
5432053767   ,2,Anapa,Moscow
5432053768   ,2,Anapa,Moscow
5432053769   ,2,Anapa,Moscow
5432053770   ,2,Anapa,Moscow
5432053771   ,2,Anapa,Moscow
5432053772   ,2,Anapa,Moscow
5432053773   ,2,Anapa,Moscow
5432053774   ,2,Anapa,Moscow
5432053775   ,2,Anapa,Moscow
5432053776   ,2,Anapa,Moscow
5432053777   ,2,Anapa,Moscow
5432053778   ,2,Anapa,Moscow
5432053779   ,2,Anapa,Moscow
5432053780   ,2,Anapa,Moscow
5432053781   ,2,Anapa,Moscow
5432053782   ,2,Anapa,Moscow
5432053783   ,2,Anapa,Moscow
5432053784   ,2,Anapa,Moscow
5432053785   ,2,Anapa,Moscow
5432053786   ,2,Anapa,Moscow
5432053787   ,2,Anapa,Moscow
5432053788   ,2,Anapa,Moscow
5432053789   ,2,Anapa,Moscow
5432053790   ,2,Anapa,Moscow
5432053791   ,2,Anapa,Moscow
5432053792   ,2,Anapa,Moscow
5432053793   ,2,Anapa,Moscow
5432053794   ,2,Anapa,Moscow
5432053795   ,2,Anapa,Moscow
5432053796   ,2,Anapa,Moscow
5432053797   ,2,Anapa,Moscow
5432053798   ,2,Anapa,Moscow
5432053799   ,2,Anapa,Moscow
5432053800   ,2,Anapa,Moscow
5432053801   ,2,Anapa,Moscow
